run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,c_rate_holdout_fold,1,0.5841777543544298,0.7582500573889396,0.5722442180142994,0.5785698343508898,0.7696243696978093,,,,,,157,12
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,condition_fold,5,0.10956918157360758,0.33186362897954724,0.15135760971923323,0.11161001379571012,0.9735631798214056,,,,,,3827,76
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,profile_holdout_fold,1,0.3277571625455475,0.4324976406840461,0.32258327820444765,0.3379389754515767,0.4099553090232814,,,,,,752,12
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,temperature_holdout_fold,2,0.2340241413811847,0.29666494816870054,0.2636650903696383,0.2803891876932094,0.554586750893568,,,,,,1802,38
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,voltage_window_holdout_fold,3,0.2791772252753137,0.3878153419966841,0.2876592676111011,0.23841525852932718,1.0147176061871324,,,,,,3827,76
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,c_rate_holdout_fold,1,0.6174125743566068,0.7883261804051614,0.599322608363983,0.5779321819484065,0.785800800373979,,,,,,157,12
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,condition_fold,5,0.10600133700253792,0.3403093963222664,0.15096933249225494,0.11080841329643669,1.0012369108678665,,,,,,3827,76
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,profile_holdout_fold,1,0.31149744799646395,0.4728956779974051,0.30804699438970823,0.3069382296222618,0.4382814626855016,,,,,,752,12
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,temperature_holdout_fold,2,0.19004710747981293,0.24362388349674202,0.21710015419913847,0.22126755322526076,0.5229792134327831,,,,,,1802,38
primary,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,voltage_window_holdout_fold,3,0.23238835462409657,0.3297120770336844,0.2441905958168014,0.20547314069366,0.9398678369772885,,,,,,3827,76
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,c_rate_holdout_fold,1,0.6071616479903108,0.7760469629204971,0.588085272092651,0.6209226750928374,0.7269247229699562,,,,,,157,12
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,condition_fold,5,0.12755885188420457,0.17750423446139477,0.16443413367020726,0.13209995120751844,0.4353020730562979,,,,,,3827,76
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,profile_holdout_fold,1,0.13453030393084528,0.176292067945446,0.15429316060712295,0.13985086600683,0.3108538346843781,,,,,,752,12
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,temperature_holdout_fold,2,0.594106070045583,0.6546946065299553,0.5990306374520944,0.5792621686100807,1.2798362105819836,,,,,,1802,38
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,capacity_Ah_k1,voltage_window_holdout_fold,3,0.22767008144162207,0.3022208769657835,0.25250692140503056,0.22770461576170212,0.6694671034084074,,,,,,3827,76
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,c_rate_holdout_fold,1,0.5923166651379452,0.7459847575108233,0.5726206832307937,0.6001185592399353,0.7179890737201979,,,,,,157,12
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,condition_fold,5,0.11675620700946568,0.1623335207047441,0.15454147676256427,0.12537543325838324,0.41082881945027594,,,,,,3827,76
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,profile_holdout_fold,1,0.161427670330539,0.1875056504970142,0.16302481758291903,0.15651244620257793,0.20332733297285155,,,,,,752,12
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,temperature_holdout_fold,2,0.5328406808908575,0.5898071658675229,0.5298316600253457,0.5316280374061562,1.1499049385073226,,,,,,1802,38
primary,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,delta_capacity_Ah,voltage_window_holdout_fold,3,0.1738331326471058,0.2331695771161737,0.1976638706289889,0.16299925336105742,0.5066027470142881,,,,,,3827,76
