run_scope,target,split_name,heldout_fold,model_level,feature_group,train_rows,test_rows,test_parameter_sets
primary,delta_pulse_1s_resistance,condition_fold,0,L0_persistence,P0_persistence,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P0_persistence,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P1_state_time,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P2_state_capacity,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P3_state_nominal,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P4_state_log_age_scalar,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L1_ridge,P5_stress_v1_1,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P0_persistence,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P1_state_time,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P2_state_capacity,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P3_state_nominal,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P4_state_log_age_scalar,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P5_stress_v1_1,2924,827,16
primary,delta_pulse_1s_resistance,condition_fold,1,L0_persistence,P0_persistence,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P0_persistence,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P1_state_time,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P2_state_capacity,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P3_state_nominal,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P4_state_log_age_scalar,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L1_ridge,P5_stress_v1_1,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P0_persistence,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P1_state_time,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P2_state_capacity,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P4_state_log_age_scalar,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2900,851,15
primary,delta_pulse_1s_resistance,condition_fold,2,L0_persistence,P0_persistence,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P0_persistence,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P1_state_time,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P2_state_capacity,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P3_state_nominal,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P4_state_log_age_scalar,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L1_ridge,P5_stress_v1_1,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P0_persistence,2869,882,15
primary,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P1_state_time,2869,882,15
