run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.14943589800373405,0.16264014634352023,-0.013204248339786173,0.2365752948733748,0.2755153042492415,-0.03894000937586667
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.16264014634352023,0.14745233908994057,0.015187807253579655,0.2755153042492415,0.257372002410076,0.01814330183916546
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.05902281093399744,0.057580191832087346,0.0014426191019100906,0.27342579377671494,0.30566130193804414,-0.032235508161329196
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.057580191832087346,0.06109161608993583,-0.0035114242578484847,0.30566130193804414,0.2848644305372829,0.020796871400761252
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.06682598048255377,0.06483565088114773,0.001990329601406035,0.31487679693593024,0.31343553331259505,0.0014412636233351872
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.06483565088114773,0.06137048908570336,0.0034651617954443714,0.31343553331259505,0.29354322549431633,0.01989230781827872
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.07424356969971271,0.08140906419658339,-0.007165494496870678,0.32905074020661546,0.32828738109708727,0.0007633591095281833
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.08140906419658339,0.06245099440568108,0.01895806979090231,0.32828738109708727,0.3244342402970414,0.0038531408000458955
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.1494358980056449,0.16264014634238477,-0.01320424833673986,0.2365752948769081,0.275515304247012,-0.03894000937010389
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.16264014634238477,0.1474523390897044,0.015187807252680374,0.275515304247012,0.2573720024087787,0.01814330183823326
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.059164125978656903,0.058043583525629036,0.0011205424530278674,0.27342579377752524,0.30566130193804414,-0.0322355081605189
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.058043583525629036,0.06123106012292314,-0.0031874765972941047,0.30566130193804414,0.2848644305372829,0.020796871400761252
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.06682598048248468,0.06483565088183316,0.0019903296006515275,0.31487679693746945,0.3134355333231167,0.0014412636143527613
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.06483565088183316,0.06137048908636717,0.003465161795465986,0.3134355333231167,0.29354322549431633,0.01989230782880036
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.07424356969850508,0.08140906419581108,-0.007165494497305996,0.32905074020661546,0.32828738109708727,0.0007633591095281833
primary_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.08140906419581108,0.06245099440603603,0.018958069789775052,0.32828738109708727,0.3244342402970414,0.0038531408000458955
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.14255465756071545,0.14486552308873227,-0.00231086552801682,0.23602988026247268,0.2467749459012188,-0.01074506563874611
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.14486552308873227,0.12541353621601078,0.019451986872721483,0.2467749459012188,0.22379259866202578,0.022982347239193013
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.059526196664365684,0.06070581042755448,-0.001179613763188793,0.2539046514955032,0.263930707892988,-0.010026056397484828
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.06070581042755448,0.05991553715813872,0.0007902732694157547,0.263930707892988,0.3000221162726698,-0.03609140837968178
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.06990606561204722,0.06827437550377526,0.001631690108271966,0.3075655810325566,0.2976409428491578,0.009924638183398782
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.06827437550377526,0.06472304006571522,0.0035513354380600354,0.2976409428491578,0.2912864397330017,0.006354503116156096
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.08050172835816195,0.08675265259841065,-0.006250924240248701,0.36151240523001227,0.3381634506888671,0.02334895454114516
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.08675265259841065,0.07340120605028866,0.013351446548121995,0.3381634506888671,0.3570647377749947,-0.018901287086127594
sensitivity_excluding_monotonicity_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.14255465755868788,0.14486552308711995,-0.002310865528432071,0.23602988026085922,0.24677494589763715,-0.010745065636777934
sensitivity_excluding_monotonicity_bias_corrected,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.14486552308711995,0.12541353621565213,0.01945198687146782,0.24677494589763715,0.22379259865981985,0.022982347237817308
