model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L0_persistence,persistence,capacity_Ah_k1,c_rate_holdout_fold,1,0.249394025477707,0.2568258256880734,-0.007431800210366379,0.33485399645173297,0.32449283585858585,0.010361160593147123
L0_persistence,persistence,capacity_Ah_k1,condition_fold,0,0.06039788862559242,0.05767294193548387,0.0027249466901085526,0.1110837766877153,0.11172722585310783,-0.0006434491653925373
L0_persistence,persistence,capacity_Ah_k1,condition_fold,1,0.05172699421965318,0.0512896828125,0.00043731140715318195,0.10458010102451172,0.10316011708008822,0.0014199839444234974
L0_persistence,persistence,capacity_Ah_k1,condition_fold,2,0.044570210762331836,0.043868488226059654,0.0007017225362721813,0.1064322646434752,0.10267655363128135,0.003755711012193852
L0_persistence,persistence,capacity_Ah_k1,condition_fold,3,0.09698693713163065,0.09573544502617799,0.0012514921054526534,0.2082177395302513,0.20657853537370657,0.0016392041565447268
L0_persistence,persistence,capacity_Ah_k1,condition_fold,4,0.06224269874476987,0.06520487854251013,-0.002962179797740258,0.15973971419119645,0.15417214108141308,0.005567573109783369
L0_persistence,persistence,capacity_Ah_k1,profile_holdout_fold,1,0.06011867952127659,0.05452168320610686,0.0055969963151697305,0.09615964607551501,0.09587597515578931,0.00028367091972569813
L0_persistence,persistence,capacity_Ah_k1,temperature_holdout_fold,1,0.07822097708894879,0.08570651046025105,-0.007485533371302255,0.20084791504587327,0.20118450286975748,-0.00033658782388421016
L0_persistence,persistence,capacity_Ah_k1,temperature_holdout_fold,2,0.05981075566037736,0.060446950255102036,-0.0006361945947246789,0.09966475002151601,0.10339941439176172,-0.0037346643702457077
L0_persistence,persistence,capacity_Ah_k1,voltage_window_holdout_fold,1,0.08984164955752212,0.08738739611178614,0.0024542534457359794,0.18491190451262138,0.18277570623062991,0.0021361982819914638
L0_persistence,persistence,capacity_Ah_k1,voltage_window_holdout_fold,2,0.08160364843180161,0.07789269056603774,0.003710957865763864,0.15900410343717922,0.1554566233985054,0.003547480038673806
